2022-01-01,0,130.05,0,0,0,0
2022-01-02,0,24.7,0,0,9.416666666666666,0
2022-01-03,30.833333333333332,26.583333333333332,0,0,17.116666666666667,0
2022-01-04,0,68.71666666666667,0,0,0,0
2022-01-05,0,0,0,0,10,0
2022-01-06,0,8.8,0,0,10.616666666666667,0
2022-01-07,0,30.46666666666667,0,0,3.7666666666666666,0
2022-01-08,0,61.58333333333333,0,0,10.933333333333334,0
2022-01-09,0,52.93333333333334,0,0,61.06666666666667,0
2022-01-10,0,25.983333333333334,0,0,20.233333333333334,0
2022-01-11,68.7,32.233333333333334,0,0,11.166666666666666,0
2022-01-12,0,145.71666666666667,0,0,8.2,0
2022-01-13,0,9.9,0,0,17.95,0
2022-01-14,50,0,0,0,17.983333333333334,0
2022-01-15,75.08333333333333,0,0,0,16.85,0
2022-01-16,9.9,0,0,0,32.8,0
2022-01-17,11.25,167.38333333333333,0,0,19.900000000000002,0
2022-01-18,0,84.38333333333334,0,0,18,0
2022-01-19,0,40.46666666666667,0,0,21.15,0
2022-01-20,0,42.38333333333333,0,0,31.616666666666667,0
2022-01-21,0,31.883333333333333,0,0,27.883333333333333,0
2022-01-22,81.26666666666668,9.366666666666667,0,0,15.916666666666668,0
2022-01-23,0,0,0,0,18.733333333333334,0
2022-01-24,0,0,0,0,23.53333333333333,0
2022-01-25,0,52.2,0,0,14.283333333333333,0
2022-01-26,0,0,0,0,22.783333333333335,0
2022-01-27,0,66.66666666666667,0,0,39.1,0
2022-01-28,19.400000000000002,116.41666666666666,0,0,25.483333333333334,0
2022-01-29,74.3,78.85,0,0,78.2,0
2022-01-30,98.96666666666667,92.83333333333333,0,0,26.783333333333335,0
2022-01-31,3.916666666666667,22.266666666666666,0,0,78.05,10.683333333333334
2022-02-01,0,0,0,0,17.466666666666665,0
2022-02-02,0,109.93333333333334,0,0,36.43333333333333,0
2022-02-03,0,120.53333333333333,0,0,45.516666666666666,0
2022-02-04,0,25.78333333333333,0,0,24.25,0
2022-02-05,0,50.95,0,0,41.016666666666666,0
2022-02-06,1.0333333333333334,240.93333333333334,0,52.03333333333333,49.03333333333333,0
2022-02-07,22.866666666666667,111.41666666666667,0,0,44.516666666666666,0
2022-02-08,0,114.06666666666666,0,0,19.8,0
2022-02-09,0,52.016666666666666,0,0,15.9,0
2022-02-10,0,117.46666666666667,0,0,13.25,0
2022-02-11,0,0,0,0,16,0
2022-02-12,0,0,0,0,11.916666666666666,0
2022-02-13,0,0,0,0,22.533333333333335,0
2022-02-14,0,0,0,0,15.016666666666666,0
2022-02-15,41.05,56.38333333333333,0,0,13.033333333333333,0
2022-02-16,0,118.19999999999999,0,0,17.216666666666665,0
2022-02-17,58.016666666666666,0,0,0,9.966666666666667,0
2022-02-18,0,0,0,0,11.9,0
2022-02-19,0,0,0,0,12.816666666666666,0
